 You are impersonating as another user., 別のユーザーとしてなりすましています。,
!=,!=,
"""Company History""",会社沿革,
"""Parent"" signifies the parent table in which this row must be added",「親」は、この行を追加する必要がある親テーブルを示します,
"""Team Members"" or ""Management""",「チームメンバー」または「経営陣」,
"""amended_from"" field must be present to do an amendment.",修正を行うには、「amended_from」フィールドが存在する必要があります。,
"""{0}"" is not a valid Google Sheets URL",「{0}」は有効なGoogleシートURLではありません。,
#{0},#{0},
${values.doctype_name} has been added to queue for optimization,${values.doctype_name} が最適化のためにキューに追加されました。,
&copy; Frappe Technologies Pvt. Ltd. and contributors,&copy; Frappe Technologies Pvt. Ltd. および貢献者,
&lt;head&gt; HTML,&lt;head&gt; HTML,
'*' is only allowed in {0} SQL function(s),「*」は {0} SQL関数でのみ許可されています。,
'In Global Search' is not allowed for field {0} of type {1},「グローバル検索」は、タイプ {1} のフィールド {0} では許可されていません。,
'In Global Search' not allowed for type {0} in row {1},「グローバル検索」は、行 {1} のタイプ {0} では許可されていません。,
'In List View' is not allowed for field {0} of type {1},「リストビュー」は、タイプ {1} のフィールド {0} では許可されていません。,
'In List View' not allowed for type {0} in row {1},「リストビュー」は、行 {1} のタイプ {0} では許可されていません。,
'Recipients' not specified,「受信者」が指定されていません。,
'{0}' is not a valid IBAN,「{0}」は有効なIBANではありません。,
'{0}' is not a valid URL,「{0}」は有効なURLではありません。,
'{0}' not allowed for type {1} in row {2},行 {2} のタイプ {1} では「{0}」は許可されていません。,
(Mandatory),（必須）,
** Failed: {0} to {1}: {2},** 失敗: {0} から {1}: {2},
+ Add / Remove Fields,+ フィールドの追加/削除,
0 - Draft; 1 - Submitted; 2 - Cancelled,0 - 下書き; 1 - 提出済; 2 - キャンセル済,
"0 - too guessable: risky password.
<br>
1 - very guessable: protection from throttled online attacks. 
<br>
2 - somewhat guessable: protection from unthrottled online attacks.
<br>
3 - safely unguessable: moderate protection from offline slow-hash scenario.
<br>
4 - very unguessable: strong protection from offline slow-hash scenario.","0 - 推測されやすすぎる: リスクのあるパスワード。
<br>
1 - 非常に推測されやすい: 制限されたオンライン攻撃からの保護。
<br>
2 - ある程度推測されやすい: 無制限のオンライン攻撃からの保護。
<br>
3 - 安全に推測不可能: オフラインの低速ハッシュシナリオからの適度な保護。
<br>
4 - 非常に推測不可能: オフラインの低速ハッシュシナリオからの強力な保護。",
0 is highest,0が最高,
1 = True & 0 = False,1 = 真 & 0 = 偽,
"1 Currency = [?] Fraction
For e.g. 1 USD = 100 Cent","1通貨 = [?] 端数
例: 1 USD = 100セント",
1 Day,1日,
1 Google Calendar Event synced.,Googleカレンダーイベント1件が同期されました。,
1 Report,1レポート,
1 day ago,1日前,
1 hour,1時間,
1 hour ago,1時間前,
1 minute ago,1分前,
1 month ago,1ヶ月前,
1 of 2,2分の1,
1 record will be exported,1件のレコードがエクスポートされます。,
1 row from {0},{0} から1行,User removed row from child table
1 row to {0},{0} へ1行,User added row to child table
1 second ago,1秒前,
1 week ago,1週間前,
1 year ago,1年前,
2 hours ago,2時間前,
2 months ago,2ヶ月前,
2 weeks ago,2週間前,
2 years ago,2年前,
3 minutes ago,3分前,
30 minutes,30分,
4 hours,4時間,
5 Records,5件のレコード,
5 days ago,5日前,
<,<,
<=,<=,
"<a href=""https://docs.frappe.io/framework/user/en/api/rest#1-token-based-authentication"" target=""_blank"">
  Click here to learn about token-based authentication
</a>","<a href=""https://docs.frappe.io/framework/user/en/api/rest#1-token-based-authentication"" target=""_blank"">
  トークンベース認証について学ぶにはここをクリックしてください
</a>",
<b>{0}</b> is not a valid URL,<b>{0}</b> は有効なURLではありません。,
"<div class=""alert"">Please don't update it as it can mess up your form. Use the Customize Form View and Custom Fields to set properties!</div>","<div class=""alert"">フォームを壊す可能性があるため、更新しないでください。プロパティを設定するには、フォームのカスタマイズビューとカスタムフィールドを使用してください！</div>",
"<div class=""ql-editor read-mode""><p>Request a file containing your personally identifiable information (PII) that is saved on our system. The file will be in JSON format and is sent to you by email. If you would like to have your PII deleted from our system, please make a <a href=""/request-to-delete-data"" rel=""noopener noreferrer"">request to delete data</a>.</p></div>","<div class=""ql-editor read-mode""><p>当社のシステムに保存されている個人識別情報 (PII) を含むファイルをリクエストしてください。ファイルはJSON形式で、メールで送信されます。システムからPIIを削除したい場合は、<a href=""/request-to-delete-data"" rel=""noopener noreferrer"">データ削除リクエスト</a>を行ってください。</p></div>",
"<div class=""ql-editor read-mode""><p>Send a request to delete your account and personally identifiable information (PII) that is stored on our system. You will receive an email to verify your request. Once the request is verified we will take care of deleting your PII. If you just want to check what PII we have stored, you can <a href=""/request-data"" rel=""noopener noreferrer"">request your data</a>.</p></div>","<div class=""ql-editor read-mode""><p>お客様のアカウントおよび当社のシステムに保存されている個人識別情報 (PII) の削除リクエストを送信してください。リクエストを確認するためのメールが届きます。リクエストが確認され次第、お客様のPIIの削除を行います。当社がどのようなPIIを保存しているかを確認したい場合は、<a href=""/request-data"" rel=""noopener noreferrer"">データのリクエスト</a>を行うことができます。</p></div>",
